system,latency,accuracy,diameter
F1,0.005,0.6400000000000001,22.182063424741813
F1,0.005,0.6200000000000001,26.125719074515334
F1,0.005,0.54,80.84414672345827
F1,0.005,0.56,60.382465325519235
F1,0.005,0.52,108.24828417603852
F1,0.005,0.6600000000000001,19.235711166521835
F1,0.005,0.6800000000000002,16.8406487139674
F1,0.005,0.5800000000000001,45.09481143133062
F1,0.005,0.7200000000000002,13.077704486842189
F1,0.005,0.7400000000000002,11.554644858194086
F1,0.005,0.7000000000000002,14.819813720497958
F1,0.005,0.7600000000000002,10.210218237240596
F1,0.005,0.7800000000000002,9.015732879778367
F1,0.005,0.5,144.97790741439866
F1,0.005,0.8000000000000003,7.95142927425683
F1,0.005,0.8200000000000003,7.003698411699888
F1,0.005,0.8400000000000003,6.1618909177039605
F1,0.005,0.8600000000000003,5.402713378830333
F1,0.005,0.8800000000000003,4.70304684004464
F1,0.005,0.9000000000000004,4.050724334335926
F1,0.01,0.5,148.42521251827114
F1,0.01,0.52,111.28971751293214
F1,0.01,0.54,83.43220166534793
F1,0.01,0.5800000000000001,46.83827063462577
F1,0.01,0.56,62.528010151960814
F1,0.01,0.6000000000000001,35.06116343200095
F1,0.005,0.9200000000000004,3.43847990280425
F1,0.005,0.9800000000000004,2.2378770800940897
F1,0.005,0.9600000000000004,2.3318834828168153
F1,0.005,0.6000000000000001,33.66709504496634
F1,0.005,0.9400000000000004,2.8604305832943853
F1,0.01,0.6200000000000001,26.86542262996536
F1,0.01,0.6400000000000001,22.689890238404537
F1,0.01,0.6600000000000001,19.641548746099026
F1,0.01,0.7000000000000002,15.108800324325586
F1,0.01,0.6800000000000002,17.17980836236728
F1,0.01,0.7200000000000002,13.324968757265731
F1,0.01,0.7400000000000002,11.769284069350467
F1,0.01,0.7800000000000002,9.17727984076561
F1,0.01,0.7600000000000002,10.396405531504167
F1,0.01,0.8200000000000003,7.1240644361920635
F1,0.01,0.8000000000000003,8.090691230572213
F1,0.01,0.8400000000000003,6.264297755650848
F1,0.01,0.8800000000000003,4.7719346753186365
F1,0.01,0.8600000000000003,5.4871678248679885
F1,0.015,0.5,153.4612635670695
F1,0.01,0.9200000000000004,3.478636766551325
F1,0.01,0.9000000000000004,4.105114595326553
F1,0.01,0.9600000000000004,2.3574928849663235
F1,0.01,0.9400000000000004,2.888432252299532
F1,0.015,0.52,115.51655734372633
F1,0.015,0.54,86.90579059595544
F1,0.01,0.9800000000000004,2.2436641848486936
F1,0.015,0.56,65.33514463872366
F1,0.015,0.5800000000000001,49.07556163574841
F1,0.015,0.6000000000000001,36.82316914812328
